,Latitude,Longitude,BirthDate,BirthDateTime,SeasonRegressionEncoding,SeasonFrankHalEncodingSpring,SeasonFrankHalEncodingSummer,SeasonFrankHalEncodingFall,sunriseTimeRaw,sunsetTimeRaw,moonPhase,precipIntensityMax,precipProbability,precipTypeRaw,temperatureHigh,temperatureLow,dewPoint,humidity,windSpeed,cloudCover,uvIndex,visibility,sunriseTimeMinute,sunsetTimeMinute,dayDuration,temperatureChange,PrecipType_None,PrecipType_rain,PrecipType_snow
472,48.635105,-103.72494,1519301322,2018-02-22 12:08:42,0,0,0,0,1519307460.0,1519345740.0,0.24,0.0,0.0,None,11.55,-5.28,-6.56,0.73,6.36,0.0,3.0,3.621,831.0,1469.0,638.0,16.830000000000002,1,0,0
474,35.986423,-88.72825,1522934641,2018-04-05 13:24:01,1,1,0,0,1522928160.0,1522974060.0,0.68,0.0,0.0,None,59.95,45.17,30.89,0.62,2.48,0.21,9.0,9.997,696.0,1461.0,765.0,14.780000000000001,1,0,0
475,42.781715,-85.30916,1554959544,2019-04-11 05:12:24,1,1,0,0,1554980820.0,1555028340.0,0.22,0.0282,0.85,snow,48.8,38.98,30.22,0.77,11.15,0.77,5.0,9.033,667.0,1459.0,792.0,9.82,0,0,1
476,47.467857,-122.598724,1546565817,2019-01-04 01:36:57,0,0,0,0,1546531140.0,1546561980.0,0.94,0.0815,1.0,rain,52.59,46.51,44.19,0.87,9.0,0.99,1.0,5.573,959.0,1473.0,514.0,6.080000000000005,0,1,0
477,39.135227,-98.70469,1530592871,2018-07-03 04:41:11,2,1,1,0,1530530040.0,1530583560.0,0.65,0.0,0.0,None,92.22,74.82,70.24,0.78,10.81,0.19,8.0,9.95,674.0,1566.0,892.0,17.400000000000006,1,0,0
479,48.248417,-107.75286,1549924651,2019-02-11 22:37:31,0,0,0,0,1549895160.0,1549931220.0,0.22,0.0,0.0,None,-0.07,-22.95,-11.11,0.8,4.31,0.66,2.0,8.178,866.0,1467.0,601.0,22.88,1,0,0
480,31.495377,-83.6479,1515976458,2018-01-15 00:34:18,0,0,0,0,1515933360.0,1515970440.0,0.94,0.0,0.0,None,48.8,29.84,26.45,0.69,3.82,0.0,4.0,9.997,756.0,1374.0,618.0,18.959999999999997,1,0,0
481,33.947945,-101.73311,1526949798,2018-05-22 00:43:18,1,1,0,0,1526902980.0,1526953620.0,0.25,0.0,0.0,None,78.57,58.99,56.39,0.73,9.21,0.45,8.0,9.745,703.0,1547.0,844.0,19.57999999999999,1,0,0
483,46.276264,-119.30034,1533521311,2018-08-06 02:08:31,2,1,1,0,1533473100.0,1533525840.0,0.8,0.0,0.0,None,93.13,59.66,48.61,0.43,4.05,0.0,8.0,6.153,765.0,1644.0,879.0,33.47,1,0,0
484,42.77824,-97.61805,1547015635,2019-01-09 06:33:55,0,0,0,0,1547042520.0,1547075760.0,0.12,0.0,0.0,None,23.44,17.91,10.92,0.64,9.83,0.0,2.0,9.997,842.0,1396.0,554.0,5.530000000000001,1,0,0
489,48.199852,-113.847855,1521103913,2018-03-15 08:51:53,1,1,0,0,1521121740.0,1521164520.0,0.95,0.0104,0.43,snow,34.47,21.63,30.9,1.0,3.49,0.99,3.0,5.708,829.0,1542.0,713.0,12.84,0,0,1
490,31.5344,-104.416084,1524805601,2018-04-27 05:06:41,1,1,0,0,1524831420.0,1524879360.0,0.43,0.0,0.0,None,74.67,58.63,27.87,0.29,23.77,0.0,11.0,9.539,737.0,1536.0,799.0,16.04,1,0,0
494,34.60308,-83.99132,1527103107,2018-05-23 19:18:27,1,1,0,0,1527071340.0,1527122340.0,0.32,0.0703,0.94,rain,81.34,66.34,67.12,0.84,2.49,0.74,7.0,2.775,629.0,1479.0,850.0,15.0,0,1,0
497,47.80529,-101.41159,1553738240,2019-03-28 01:57:20,1,1,0,0,1553690100.0,1553735340.0,0.75,0.0,0.0,None,45.14,28.91,32.59,0.85,13.25,0.51,4.0,8.026,755.0,1509.0,754.0,16.23,1,0,0
501,34.26055,-103.31673,1545352534,2018-12-21 00:35:34,0,0,0,0,1545314160.0,1545349680.0,0.44,0.0,0.0,None,51.51,28.21,17.07,0.43,9.45,0.0,3.0,9.963,836.0,1428.0,592.0,23.299999999999997,1,0,0
505,32.816242,-118.36763,1554234732,2019-04-02 19:52:12,1,1,0,0,1554212460.0,1554257700.0,0.93,0.0,0.0,None,64.27,55.99,52.94,0.79,7.27,0.68,8.0,9.997,821.0,1575.0,754.0,8.279999999999994,1,0,0
506,34.92714,-78.89912,1547187832,2019-01-11 06:23:52,0,0,0,0,1547209500.0,1547245440.0,0.18,0.0,0.0,None,45.24,28.12,15.77,0.49,4.07,0.0,3.0,9.987,745.0,1344.0,599.0,17.12,1,0,0
508,30.720638,-102.94892,1540178719,2018-10-22 03:25:19,3,1,1,1,1540126800.0,1540167300.0,0.41,0.0,0.0,None,62.33,53.31,49.84,0.8,4.75,0.94,4.0,9.997,780.0,1455.0,675.0,9.019999999999996,1,0,0
510,31.718418,-110.86964,1547298919,2019-01-12 13:15:19,0,0,0,0,1547303100.0,1547340060.0,0.22,0.0,0.0,None,58.91,38.21,27.34,0.61,6.82,0.1,4.0,9.997,865.0,1481.0,616.0,20.699999999999996,1,0,0
511,42.298107,-122.58452,1554528166,2019-04-06 05:22:46,1,1,0,0,1554472020.0,1554518460.0,0.03,0.0212,0.9,rain,45.0,33.12,36.23,0.89,5.78,0.59,5.0,9.645,827.0,1601.0,774.0,11.880000000000003,0,1,0
513,48.43275,-103.53028,1535161350,2018-08-25 01:42:30,2,1,1,0,1535112120.0,1535161980.0,0.46,0.0,0.0,None,87.22,48.04,51.42,0.59,6.04,0.11,7.0,3.873,722.0,1553.0,831.0,39.18,1,0,0
515,37.196533,-121.61168,1527458406,2018-05-27 22:00:06,1,1,0,0,1527425460.0,1527477540.0,0.45,0.0034,0.22,rain,77.75,51.67,49.59,0.71,4.77,0.21,11.0,9.055,771.0,1639.0,868.0,26.08,0,1,0
516,41.41552,-120.85303,1549892914,2019-02-11 13:48:34,0,0,0,0,1549897500.0,1549935180.0,0.23,0.009,0.7,snow,30.91,21.44,19.12,0.76,10.65,0.95,3.0,9.997,905.0,1533.0,628.0,9.469999999999999,0,0,1
517,44.296497,-79.93759,1525893945,2018-05-09 19:25:45,1,1,0,0,1525860060.0,1525912440.0,0.81,0.0013,0.1,rain,80.24,59.26,45.15,0.53,7.48,0.16,9.0,8.996,601.0,1474.0,873.0,20.979999999999997,0,1,0
518,47.430763,-122.46752,1534996882,2018-08-23 04:01:22,2,1,1,0,1534943820.0,1534993860.0,0.4,0.0,0.0,None,88.18,57.14,52.95,0.56,3.52,0.5,7.0,2.848,797.0,1631.0,834.0,31.040000000000006,1,0,0
521,38.85826,-80.2463,1530584435,2018-07-03 02:20:35,2,1,1,0,1530525660.0,1530579060.0,0.65,0.0498,0.74,rain,85.15,66.61,71.84,0.85,3.11,0.19,11.0,9.009,601.0,1491.0,890.0,18.540000000000006,0,1,0
522,34.281685,-81.47038,1514918616,2018-01-02 18:43:36,0,0,0,0,1514896380.0,1514932140.0,0.54,0.0,0.0,None,35.58,20.3,4.05,0.47,3.3,0.01,3.0,9.997,753.0,1349.0,596.0,15.279999999999998,1,0,0
524,34.657852,-109.91061,1546999977,2019-01-09 02:12:57,0,0,0,0,1546957680.0,1546993560.0,0.09,0.0048,0.78,snow,43.7,27.12,29.81,0.85,4.61,0.0,3.0,9.738,868.0,1466.0,598.0,16.580000000000002,0,0,1
526,39.74456,-107.6111,1529479617,2018-06-20 07:26:57,2,1,1,0,1529495040.0,1529548980.0,0.27,0.0,0.0,None,68.99,49.54,34.11,0.44,5.96,0.03,11.0,5.066,704.0,1603.0,899.0,19.449999999999996,1,0,0
529,49.572083,-82.840836,1515506300,2018-01-09 13:58:20,0,0,0,0,1515504420.0,1515534720.0,0.79,0.0061,0.46,snow,14.61,4.78,6.95,0.8,8.7,0.84,1.0,8.175,807.0,1312.0,505.0,9.829999999999998,0,0,1
531,38.25516,-82.13094,1545395093,2018-12-21 12:24:53,0,0,0,0,1545396180.0,1545430380.0,0.47,0.2399,0.91,rain,44.18,35.31,41.24,0.95,4.72,1.0,2.0,1.51,763.0,1333.0,570.0,8.869999999999997,0,1,0
532,42.8345,-78.427444,1535590444,2018-08-30 00:54:04,2,1,1,0,1535539020.0,1535586900.0,0.61,0.0101,0.84,rain,84.28,62.88,69.49,0.78,10.42,0.38,6.0,9.997,637.0,1435.0,798.0,21.4,0,1,0
535,41.10708,-110.13999,1523104789,2018-04-07 12:39:49,1,1,0,0,1523105700.0,1523152380.0,0.74,0.0397,0.83,rain,47.78,28.9,35.9,0.8,9.11,0.79,5.0,3.679,775.0,1553.0,778.0,18.880000000000003,0,1,0
536,40.20716,-84.180244,1551541355,2019-03-02 15:42:35,1,1,0,0,1551528600.0,1551569400.0,0.89,0.0,0.0,None,38.49,29.14,25.73,0.78,5.27,0.69,3.0,9.858,730.0,1410.0,680.0,9.350000000000001,1,0,0
537,43.200665,-89.24486,1551414838,2019-03-01 04:33:58,1,1,0,0,1551357360.0,1551397560.0,0.83,0.0019,0.06,snow,21.87,18.08,1.66,0.63,2.51,0.61,3.0,9.997,756.0,1426.0,670.0,3.7900000000000027,0,0,1
540,39.4116,-83.25785,1527576888,2018-05-29 06:54:48,1,1,0,0,1527588660.0,1527641580.0,0.51,0.0041,0.32,rain,86.54,72.77,66.8,0.74,4.37,0.22,8.0,5.357,611.0,1493.0,882.0,13.77000000000001,0,1,0
541,38.20958,-108.86502,1537882719,2018-09-25 13:38:39,3,1,1,1,1537880820.0,1537924140.0,0.53,0.0,0.0,None,69.13,41.38,14.24,0.2,5.62,0.14,7.0,8.486,787.0,1509.0,722.0,27.749999999999993,1,0,0
544,28.681747,-95.34833,1550504015,2019-02-18 15:33:35,0,0,0,0,1550494740.0,1550535300.0,0.48,0.0,0.0,None,61.35,49.09,42.46,0.62,18.76,0.93,4.0,9.935,779.0,1455.0,676.0,12.259999999999998,1,0,0
550,34.14996,-77.66095,1552584119,2019-03-14 17:21:59,1,1,0,0,1552562640.0,1552605540.0,0.27,0.0,0.0,None,71.16,61.39,52.52,0.76,6.8,0.12,7.0,9.997,684.0,1399.0,715.0,9.769999999999996,1,0,0
554,40.98382,-96.95769,1551032070,2019-02-24 18:14:30,0,0,0,0,1551013860.0,1551053640.0,0.7,0.0003,0.06,snow,17.13,-7.44,6.05,0.71,8.0,0.03,4.0,8.478,791.0,1454.0,663.0,24.57,0,0,1
555,39.645763,-83.632164,1545850485,2018-12-26 18:54:45,0,0,0,0,1545828900.0,1545862680.0,0.67,0.0092,0.05,snow,44.98,32.33,28.06,0.84,2.12,0.08,2.0,2.829,775.0,1338.0,563.0,12.649999999999999,0,0,1
558,40.85552,-109.63874,1515837904,2018-01-13 10:05:04,0,0,0,0,1515854580.0,1515888840.0,0.91,0.0,0.0,None,41.94,18.34,19.43,0.68,5.7,0.09,2.0,9.997,883.0,1454.0,571.0,23.599999999999998,1,0,0
559,38.250977,-95.39221,1553210708,2019-03-21 23:25:08,1,1,0,0,1553171100.0,1553214900.0,0.54,0.0,0.0,None,58.4,31.88,34.31,0.69,6.02,0.05,7.0,9.397,745.0,1475.0,730.0,26.52,1,0,0
561,39.978584,-95.97491,1535147476,2018-08-24 21:51:16,2,1,1,0,1535111160.0,1535159400.0,0.46,0.0,0.0,None,91.0,63.46,68.7,0.79,4.94,0.47,9.0,8.158,706.0,1510.0,804.0,27.54,1,0,0
562,36.597324,-92.42895,1521937268,2018-03-25 00:21:08,1,1,0,0,1521893280.0,1521937560.0,0.27,0.0,0.0,None,77.68,42.15,53.23,0.67,5.74,0.56,6.0,9.997,728.0,1466.0,738.0,35.53000000000001,1,0,0
565,48.487377,-102.38166,1520213599,2018-03-05 01:33:19,1,1,0,0,1520169960.0,1520210340.0,0.61,0.0142,0.78,snow,30.64,29.02,28.75,0.98,13.95,0.96,2.0,1.603,806.0,1479.0,673.0,1.620000000000001,0,0,1
569,40.883194,-107.968735,1523924641,2018-04-17 00:24:01,1,1,0,0,1523881920.0,1523929980.0,0.04,0.0009,0.12,rain,65.59,42.6,14.0,0.23,24.06,0.0,9.0,9.997,752.0,1553.0,801.0,22.990000000000002,0,1,0
570,41.35648,-78.385765,1529331927,2018-06-18 14:25:27,2,1,1,0,1529314860.0,1529369460.0,0.2,0.0452,0.47,rain,88.03,69.45,67.84,0.76,6.59,0.25,8.0,9.374,581.0,1491.0,910.0,18.58,0,1,0
571,46.856808,-91.89632,1554285396,2019-04-03 09:56:36,1,1,0,0,1554291840.0,1554338400.0,0.96,0.0,0.0,None,44.24,28.46,13.03,0.42,8.14,0.25,5.0,9.557,704.0,1480.0,776.0,15.780000000000001,1,0,0
574,39.883698,-82.77404,1555187607,2019-04-13 20:33:27,1,1,0,0,1555153020.0,1555200480.0,0.3,0.0008,0.08,rain,68.01,45.13,38.23,0.52,2.1,0.21,8.0,3.195,657.0,1448.0,791.0,22.880000000000003,0,1,0
575,47.747364,-90.51323,1548850855,2019-01-30 12:20:55,0,0,0,0,1548855180.0,1548889200.0,0.85,0.0,0.0,None,-9.8,-25.92,-28.94,0.56,12.18,0.09,2.0,8.148,813.0,1380.0,567.0,16.12,1,0,0
576,29.76402,-85.13014,1553092590,2019-03-20 14:36:30,1,1,0,0,1553082360.0,1553125980.0,0.5,0.0,0.0,None,66.7,46.1,40.35,0.55,7.46,0.11,7.0,9.267,706.0,1433.0,727.0,20.6,1,0,0
577,37.2489,-101.66985,1547970197,2019-01-20 07:43:17,0,0,0,0,1547992740.0,1548028740.0,0.5,0.0,0.0,None,60.44,29.41,29.31,0.7,6.74,0.0,3.0,9.978,839.0,1439.0,600.0,31.029999999999998,1,0,0
580,38.896614,-95.998245,1521917146,2018-03-24 18:45:46,1,1,0,0,1521894120.0,1521938460.0,0.27,0.0,0.0,None,49.11,33.31,40.82,0.8,8.14,0.99,4.0,9.25,742.0,1481.0,739.0,15.799999999999997,1,0,0
581,32.91507,-116.62752,1529789018,2018-06-23 21:23:38,2,1,1,0,1529757600.0,1529809200.0,0.37,0.0,0.0,None,77.88,56.99,38.95,0.34,4.79,0.68,9.0,8.065,760.0,1620.0,860.0,20.889999999999993,1,0,0
582,44.163555,-93.45092,1528378881,2018-06-07 13:41:21,2,1,1,0,1528367520.0,1528422960.0,0.79,0.0246,0.88,rain,78.54,62.91,53.71,0.59,5.53,0.14,10.0,8.779,632.0,1556.0,924.0,15.63000000000001,0,1,0
584,41.54687,-80.445755,1528118372,2018-06-04 13:19:32,2,1,1,0,1528105800.0,1528159980.0,0.7,0.0062,0.07,rain,66.41,52.22,52.88,0.76,4.88,0.69,5.0,4.367,590.0,1493.0,903.0,14.189999999999998,0,1,0
585,46.41307,-100.89931,1541236207,2018-11-03 09:10:07,3,1,1,1,1541251800.0,1541287620.0,0.87,0.0152,1.0,rain,37.52,33.49,34.37,0.93,7.55,0.97,2.0,5.322,810.0,1407.0,597.0,4.030000000000001,0,1,0
589,48.452785,-108.27946,1555848362,2019-04-21 12:06:02,1,1,0,0,1555848720.0,1555899180.0,0.6,0.0031,0.31,rain,61.67,31.63,20.4,0.32,8.88,0.46,6.0,9.997,732.0,1573.0,841.0,30.040000000000003,0,1,0
591,40.65373,-76.975945,1550621961,2019-02-20 00:19:21,0,0,0,0,1550577480.0,1550616540.0,0.52,0.0069,0.23,snow,34.26,25.07,10.12,0.51,4.53,0.16,4.0,9.997,718.0,1369.0,651.0,9.189999999999998,0,0,1
592,34.593163,-102.85066,1522325730,2018-03-29 12:15:30,1,1,0,0,1522327380.0,1522372260.0,0.45,0.0,0.0,None,62.5,35.21,30.37,0.52,10.65,0.16,9.0,9.779,763.0,1511.0,748.0,27.29,1,0,0
593,39.78203,-106.451775,1520708275,2018-03-10 18:57:55,1,1,0,0,1520688360.0,1520730540.0,0.8,0.0425,0.22,snow,32.97,12.35,18.62,0.7,4.29,0.6,4.0,2.639,806.0,1509.0,703.0,20.619999999999997,0,0,1
594,31.963058,-83.19904,1522112751,2018-03-27 01:05:51,1,1,0,0,1522063800.0,1522108140.0,0.34,0.1702,1.0,rain,52.31,50.7,39.66,0.68,8.1,1.0,4.0,9.661,690.0,1429.0,739.0,1.6099999999999994,0,1,0
596,41.556145,-120.38941,1543441287,2018-11-28 21:41:27,3,1,1,1,1543417620.0,1543451700.0,0.72,0.0109,0.78,rain,40.77,34.41,34.94,0.91,3.84,0.94,2.0,8.006,907.0,1475.0,568.0,6.3600000000000065,0,1,0
599,37.673973,-81.12017,1516584677,2018-01-22 01:31:17,0,0,0,0,1516538220.0,1516574220.0,0.16,0.0034,0.56,rain,51.76,43.26,39.77,0.79,1.3,0.94,2.0,2.22,757.0,1357.0,600.0,8.5,0,1,0
600,44.233646,-83.19975,1542876427,2018-11-22 08:47:07,3,1,1,1,1542890340.0,1542924120.0,0.49,0.0052,0.44,snow,25.37,23.57,10.7,0.68,9.14,0.77,1.0,7.368,759.0,1322.0,563.0,1.8000000000000007,0,0,1
602,41.92428,-92.729485,1518507040,2018-02-13 07:30:40,0,0,0,0,1518527400.0,1518565380.0,0.95,0.0137,0.64,snow,31.58,22.42,14.57,0.76,8.34,0.5,3.0,8.818,790.0,1423.0,633.0,9.159999999999997,0,0,1
606,37.247288,-100.50823,1541119993,2018-11-02 00:53:13,3,1,1,1,1541077680.0,1541115960.0,0.8,0.0,0.0,None,58.84,40.98,33.69,0.66,5.7,0.34,4.0,9.997,788.0,1426.0,638.0,17.860000000000007,1,0,0
607,46.81085,-93.26304,1518895679,2018-02-17 19:27:59,0,0,0,0,1518873300.0,1518910920.0,0.07,0.0,0.0,None,28.57,4.48,9.42,0.66,6.73,0.29,2.0,10.0,795.0,1422.0,627.0,24.09,1,0,0
609,32.877632,-111.47583,1554680395,2019-04-07 23:39:55,1,1,0,0,1554642420.0,1554688260.0,0.09,0.0,0.0,None,86.56,53.09,37.54,0.36,5.06,0.0,9.0,9.984,787.0,1551.0,764.0,33.47,1,0,0
612,40.316376,-83.44343,1546226371,2018-12-31 03:19:31,0,0,0,0,1546174680.0,1546208280.0,0.81,0.0009,0.02,snow,37.93,31.39,27.12,0.8,4.08,0.44,2.0,4.169,778.0,1338.0,560.0,6.539999999999999,0,0,1
613,36.496933,-83.53436,1523030525,2018-04-06 16:02:05,1,1,0,0,1523013240.0,1523059260.0,0.71,0.0627,0.93,rain,58.84,40.73,37.56,0.7,2.93,0.6,6.0,9.294,674.0,1441.0,767.0,18.110000000000007,0,1,0
615,44.97505,-90.2891,1530391392,2018-06-30 20:43:12,2,1,1,0,1530353940.0,1530409980.0,0.59,0.1315,0.93,rain,88.67,64.69,72.14,0.83,7.65,0.33,8.0,9.171,619.0,1553.0,934.0,23.980000000000004,0,1,0
616,42.36522,-120.35071,1519736247,2018-02-27 12:57:27,0,0,0,0,1519742460.0,1519782600.0,0.43,0.0122,1.0,snow,29.2,9.5,4.02,0.7,3.53,0.02,4.0,9.997,881.0,1550.0,669.0,19.7,0,0,1
617,30.74373,-83.93768,1533419516,2018-08-04 21:51:56,2,1,1,0,1533380220.0,1533429000.0,0.76,0.0577,0.48,rain,91.2,71.87,73.86,0.85,2.09,0.26,8.0,9.945,657.0,1470.0,813.0,19.33,0,1,0
620,33.36632,-97.37733,1520181138,2018-03-04 16:32:18,1,1,0,0,1520168100.0,1520209800.0,0.61,0.0039,0.36,rain,67.09,62.32,58.8,0.86,8.02,0.92,4.0,8.157,775.0,1470.0,695.0,4.770000000000003,0,1,0
621,33.11961,-112.19942,1555075053,2019-04-12 13:17:33,1,1,0,0,1555074180.0,1555120680.0,0.26,0.0,0.0,None,72.52,49.1,27.73,0.23,4.55,0.66,6.0,9.986,783.0,1558.0,775.0,23.419999999999995,1,0,0
622,30.874409,-83.51111,1524738591,2018-04-26 10:29:51,1,1,0,0,1524740160.0,1524787800.0,0.4,0.0,0.0,None,80.41,55.5,56.21,0.72,4.16,0.2,10.0,9.52,656.0,1450.0,794.0,24.909999999999997,1,0,0
623,39.771816,-83.767006,1527054568,2018-05-23 05:49:28,1,1,0,0,1527070500.0,1527123060.0,0.32,0.0017,0.03,rain,76.49,54.45,56.58,0.7,5.86,0.26,10.0,6.719,615.0,1491.0,876.0,22.039999999999992,0,1,0
625,38.270325,-88.740105,1518654257,2018-02-15 00:24:17,0,0,0,0,1518612480.0,1518651180.0,0.98,0.0971,1.0,rain,55.98,54.54,47.28,0.94,6.82,0.99,3.0,6.628,768.0,1413.0,645.0,1.4399999999999977,0,1,0
626,49.23426,-118.29251,1525143672,2018-05-01 03:01:12,1,1,0,0,1525091640.0,1525144140.0,0.54,0.0,0.0,None,52.43,35.68,35.11,0.77,2.32,0.82,5.0,3.438,754.0,1629.0,875.0,16.75,1,0,0
627,35.52465,-86.77609,1548677000,2019-01-28 12:03:20,0,0,0,0,1548679860.0,1548717120.0,0.79,0.0016,0.27,rain,58.04,26.22,31.31,0.66,6.03,0.4,4.0,9.993,771.0,1392.0,621.0,31.82,0,1,0
628,48.647614,-116.64997,1529777930,2018-06-23 18:18:50,2,1,1,0,1529754360.0,1529812440.0,0.37,0.0245,0.27,rain,53.99,40.43,46.75,1.0,2.48,0.97,6.0,4.588,706.0,1674.0,968.0,13.560000000000002,0,1,0
633,41.57754,-95.32646,1533034471,2018-07-31 10:54:31,2,1,1,0,1533035760.0,1533087660.0,0.63,0.0068,0.68,rain,81.45,53.14,59.92,0.77,1.9,0.15,8.0,8.94,676.0,1541.0,865.0,28.310000000000002,0,1,0
635,41.9318,-84.25311,1523320051,2018-04-10 00:27:31,1,1,0,0,1523272020.0,1523319120.0,0.8,0.0998,0.28,snow,38.3,21.76,25.02,0.75,2.46,0.95,4.0,5.596,667.0,1452.0,785.0,16.539999999999996,0,0,1
638,40.942883,-84.22449,1524243439,2018-04-20 16:57:19,1,1,0,0,1524221460.0,1524270180.0,0.18,0.0,0.0,None,57.13,33.32,26.28,0.53,2.72,0.0,9.0,2.204,651.0,1463.0,812.0,23.810000000000002,1,0,0
639,41.26679,-94.47448,1546963741,2019-01-08 16:09:01,0,0,0,0,1546955100.0,1546988820.0,0.09,0.0313,0.26,rain,46.01,19.97,26.23,0.61,19.09,0.18,2.0,4.751,825.0,1387.0,562.0,26.04,0,1,0
644,38.886185,-90.477646,1535218615,2018-08-25 17:36:55,2,1,1,0,1535196360.0,1535244300.0,0.49,0.0031,0.18,rain,94.72,75.31,71.98,0.72,7.25,0.38,8.0,8.507,686.0,1485.0,799.0,19.409999999999997,0,1,0
645,41.554363,-110.72666,1544803825,2018-12-14 16:10:25,0,0,0,0,1544798580.0,1544831700.0,0.24,0.001,0.16,snow,20.28,7.5,3.43,0.71,3.47,0.02,2.0,4.337,883.0,1435.0,552.0,12.780000000000001,0,0,1
646,40.240894,-84.397354,1550817049,2019-02-22 06:30:49,0,0,0,0,1550838180.0,1550877720.0,0.63,0.0,0.0,None,37.23,31.92,29.99,0.89,4.45,0.06,4.0,8.561,743.0,1402.0,659.0,5.309999999999995,1,0,0
650,51.226387,-103.11482,1522917910,2018-04-05 08:45:10,1,1,0,0,1522930740.0,1522978380.0,0.68,0.0,0.0,None,9.6,-7.05,-0.64,0.78,13.77,0.39,5.0,8.736,739.0,1533.0,794.0,16.65,1,0,0
654,32.706474,-80.30509,1556390343,2019-04-27 18:39:03,1,1,0,0,1556361540.0,1556409660.0,0.78,0.0,0.0,None,75.5,57.27,45.27,0.51,5.34,0.04,10.0,9.712,639.0,1441.0,802.0,18.229999999999997,1,0,0
655,44.692028,-93.72324,1531484386,2018-07-13 12:19:46,2,1,1,0,1531478580.0,1531533600.0,0.04,0.0557,0.88,rain,80.74,64.62,69.39,0.87,3.5,0.51,7.0,8.734,643.0,1560.0,917.0,16.11999999999999,0,1,0
657,37.73058,-107.50899,1540708840,2018-10-28 06:40:40,3,1,1,1,1540733580.0,1540772220.0,0.66,0.0,0.0,None,50.14,29.95,18.4,0.51,5.57,0.0,5.0,2.037,813.0,1457.0,644.0,20.19,1,0,0
658,32.611122,-81.8879,1547630843,2019-01-16 09:27:23,0,0,0,0,1547641860.0,1547678760.0,0.34,0.0,0.0,None,59.67,31.34,34.89,0.78,1.58,0.07,4.0,8.998,751.0,1366.0,615.0,28.330000000000002,1,0,0
660,41.412514,-92.795784,1549598211,2019-02-08 03:56:51,0,0,0,0,1549545420.0,1549582560.0,0.1,0.0314,0.67,snow,17.45,-0.89,9.46,0.79,12.41,0.86,2.0,4.549,797.0,1416.0,619.0,18.34,0,0,1
662,34.434196,-95.60043,1538388987,2018-10-01 10:16:27,3,1,1,1,1538396280.0,1538438880.0,0.74,0.0,0.0,None,81.53,68.39,67.63,0.83,4.72,0.82,4.0,8.536,738.0,1448.0,710.0,13.14,1,0,0
663,33.1939,-115.54193,1518619140,2018-02-14 14:39:00,0,0,0,0,1518618480.0,1518658080.0,0.98,0.031,0.49,rain,71.86,54.4,43.4,0.58,5.39,0.43,5.0,9.755,868.0,1528.0,660.0,17.46,0,1,0
664,48.26628,-116.23167,1552495213,2019-03-13 16:40:13,1,1,0,0,1552485780.0,1552528080.0,0.24,0.0097,0.98,snow,25.7,12.28,19.91,1.0,1.71,0.99,3.0,1.639,843.0,1548.0,705.0,13.42,0,0,1
673,42.750004,-109.64835,1544565675,2018-12-11 22:01:15,0,0,0,0,1544539260.0,1544571960.0,0.15,0.0,0.0,None,30.58,3.23,6.72,0.71,3.04,0.2,2.0,9.997,881.0,1426.0,545.0,27.349999999999998,1,0,0
677,32.33517,-110.74677,1534858104,2018-08-21 13:28:24,2,1,1,0,1534855980.0,1534903320.0,0.37,0.0137,0.46,rain,83.99,65.87,56.01,0.52,4.49,0.18,9.0,9.997,773.0,1562.0,789.0,18.11999999999999,0,1,0
678,38.336926,-96.210686,1523633038,2018-04-13 15:23:58,1,1,0,0,1523620380.0,1523667600.0,0.93,0.0162,0.91,rain,82.96,31.83,55.97,0.63,24.28,0.38,7.0,9.762,713.0,1500.0,787.0,51.129999999999995,0,1,0
679,34.5569,-114.777054,1551530640,2019-03-02 12:44:00,1,1,0,0,1551535680.0,1551577020.0,0.9,0.0024,0.2,rain,75.32,52.15,41.38,0.4,9.19,0.36,6.0,9.997,848.0,1537.0,689.0,23.169999999999995,0,1,0
683,41.20021,-82.860504,1532503859,2018-07-25 07:30:59,2,1,1,0,1532514120.0,1532566620.0,0.45,0.1049,0.56,rain,85.39,60.86,62.85,0.67,2.23,0.17,10.0,1.061,622.0,1497.0,875.0,24.53,0,1,0
684,34.951176,-110.79007,1530957398,2018-07-07 09:56:38,2,1,1,0,1530965820.0,1531017660.0,0.81,0.015,0.07,rain,96.87,69.05,47.62,0.32,9.96,0.07,12.0,9.537,737.0,1601.0,864.0,27.820000000000007,0,1,0
686,47.599895,-115.359886,1538370186,2018-10-01 05:03:06,3,1,1,1,1538314860.0,1538357040.0,0.7,0.0024,0.2,rain,48.64,38.61,28.21,0.5,10.49,0.82,3.0,8.529,821.0,1524.0,703.0,10.030000000000001,0,1,0
693,48.243526,-102.76872,1545700853,2018-12-25 01:20:53,0,0,0,0,1545662520.0,1545692520.0,0.59,0.0,0.0,None,25.4,13.45,19.36,0.93,7.97,0.9,1.0,6.772,882.0,1382.0,500.0,11.95,1,0,0
695,41.228733,-85.183,1537013971,2018-09-15 12:19:31,3,1,1,1,1537010580.0,1537055520.0,0.22,0.0007,0.12,rain,82.4,65.9,66.4,0.88,3.13,0.25,5.0,6.261,683.0,1432.0,749.0,16.5,0,1,0
697,45.100185,-92.45141,1556254520,2019-04-26 04:55:20,1,1,0,0,1556190540.0,1556240940.0,0.72,0.0,0.0,None,70.21,39.8,34.68,0.47,6.53,0.4,8.0,9.997,669.0,1509.0,840.0,30.409999999999997,1,0,0
